x,y,pts_crs,aoi,naip_id,r,r_max,r_min,r_diff,r_avg,r_entr,g,g_max,g_min,g_diff,g_avg,g_entr,b,b_max,b_min,b_diff,b_avg,b_entr,nir,nir_max,nir_min,nir_diff,nir_avg,nir_entr,ndvi,ndvi_max,ndvi_min,ndvi_diff,ndvi_avg,ndvi_entr,year,month,day_in_year,iceplant
774215.2730991447,3817441.8136797776,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,125,127,120,7,123.888885,3.2105865,143,144,132,12,139.11111,3.9262724,114,118,112,6,114.888885,3.4400702,172,180,155,25,167.11111,4.418157,0.15824915824915825,0.17725752,0.123188406,0.054069117,0.11111111,3.3711047,2020,5,143,1
774217.7294939752,3817444.760854412,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,116,129,111,18,118.77778,4.155756,123,130,123,7,125.666664,3.857307,100,115,96,19,103.111115,4.3491917,174,182,152,30,169.44444,4.418157,0.2,0.23448277,0.081850536,0.15263224,0.11111111,3.663871,2020,5,143,1
774217.0102284531,3817444.156683355,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,111,120,109,11,114.55556,3.9044816,127,132,123,9,126.888885,3.676441,99,111,96,15,102.0,4.004364,179,182,163,19,174.44444,4.280226,0.23448275862068965,0.23448277,0.15194346,0.082539305,0.11111111,3.5124793,2020,5,143,1
774224.7476108911,3817441.666955769,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,126,131,115,16,124.333336,4.211261,137,144,130,14,136.66667,4.2372913,96,114,93,21,99.666664,4.0178246,188,188,178,10,184.44444,3.5780013,0.19745222929936307,0.23841059,0.15584415,0.08256644,0.11111111,3.4569745,2020,5,143,1
774379.3738881607,3817420.728330903,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,122,125,119,6,122.22222,3.5554142,126,127,124,3,125.22222,3.069212,96,100,95,5,97.666664,3.663871,169,169,161,8,165.88889,3.8538632,0.16151202749140894,0.16151203,0.13194445,0.029567584,0.11111111,3.0952425,2020,5,143,1
774380.65625213,3817425.9055893305,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,106,117,99,18,107.888885,4.306257,121,128,116,12,122.44444,3.7159321,95,102,88,14,96.55556,3.9783335,173,181,161,20,170.66667,4.1422954,0.24014336917562723,0.29285714,0.16666667,0.12619047,0.22222222,4.004364,2020,5,143,1
774391.8987584618,3817418.268644211,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,137,141,134,7,136.77777,3.5905712,138,143,132,11,137.44444,3.3880088,99,104,97,7,100.111115,3.5350661,178,179,171,8,175.55556,3.771437,0.13015873015873017,0.14012739,0.10759494,0.032532454,0.11111111,2.7658763,2020,5,143,1
774400.303625361,3817420.726173729,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,119,124,113,11,119.333336,4.004364,132,137,126,11,132.11111,3.728502,91,93,91,2,92.0,2.5864532,188,190,188,2,188.66667,2.8313982,0.2247557003257329,0.25165564,0.20512821,0.04652743,0.22222222,3.5519705,2020,5,143,1
774387.1436444059,3817418.372215673,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,134,143,110,33,130.55556,4.323161,134,141,122,19,133.11111,3.9353986,105,107,95,12,103.111115,3.7159321,165,168,163,5,165.33333,3.8664331,0.10367892976588629,0.1941392,0.074433655,0.11970554,0.11111111,3.3914526,2020,5,143,1
775170.6628434067,3817333.384673474,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,103,113,99,14,105.22222,4.2372913,122,122,117,5,120.111115,3.728502,89,105,85,20,91.77778,3.9059243,166,172,136,36,160.0,4.047299,0.2342007434944238,0.2556391,0.092369474,0.16326964,0.11111111,4.090234,2020,5,143,1
775129.1748643977,3817338.063933388,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,99,112,99,13,104.77778,4.116265,110,115,109,6,112.333336,3.164208,87,91,87,4,87.888885,2.599914,158,163,155,8,158.77777,3.6243796,0.22957198443579765,0.23255815,0.16541353,0.06714462,0.11111111,3.4435139,2020,5,143,1
775174.2649424438,3817323.872041762,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,137,138,133,5,135.77777,3.676441,127,127,125,2,125.888885,3.0812297,112,113,108,5,110.888885,3.495575,140,151,137,14,143.44444,4.375222,0.010830324909747292,0.05263158,0.007352941,0.04527864,0.0,3.7193758,2020,5,143,1
