x,y,pts_crs,naip_id,aoi,r,g,b,nir,ndvi,year,month,day_in_year,iceplant,r_avg13,r_entr13,g_avg13,g_entr13,b_avg13,b_entr13,nir_avg13,nir_entr13,ndvi_avg13,ndvi_entr13
-120.01815464463434,34.464874550703584,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,132,124,104,150,0.0638297872340425,2020,5,143,0.0,148.02367,5.1605415,139.57988,5.10313,113.31953,4.5069633,163.31361,4.882306,0.04733728,4.0069413
-120.01930803101472,34.464586204108485,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,142,138,114,167,0.0809061488673139,2020,5,143,0.0,130.31361,5.054921,131.31361,4.503598,108.2071,4.0409117,169.78699,4.9373617,0.13017751,4.3167286
-120.0186068245221,34.464599310771895,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,125,118,108,154,0.1039426523297491,2020,5,143,0.0,137.42012,4.6526933,134.57988,4.771248,110.13609,3.285006,161.60947,4.7324314,0.07692308,3.286789
-120.00178809920187,34.46165438190341,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,100,128,89,185,0.2982456140350877,2020,5,143,0.0,122.49113,5.839701,132.89941,5.0354176,99.05325,5.00382,176.86983,4.426362,0.18934911,5.17156
-120.00166624837163,34.46408052273235,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,123,120,102,148,0.092250922509225,2020,5,143,0.0,125.98817,4.8669357,128.39053,4.773756,103.65089,4.004924,151.0,5.1460924,0.088757396,3.7691271
-120.0027241638154,34.46484510707579,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,155,146,122,166,0.0342679127725856,2020,5,143,0.0,143.1361,5.4072165,131.5207,5.181466,110.89941,4.6939735,160.18935,4.8891163,0.053254437,4.697676
-120.05905675477842,34.467606411293715,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,139,131,123,148,0.0313588850174216,2020,5,143,0.0,142.21893,5.2383885,136.21301,4.7593203,120.39645,5.03936,157.36095,4.393317,0.04733728,4.1527524
-120.05436067738856,34.46408034154432,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,126,138,122,165,0.134020618556701,2020,5,143,0.0,140.45563,5.1859465,139.71005,4.9184327,122.83432,4.967105,158.12427,5.072416,0.0591716,4.5060563
-120.04523828571917,34.46749690547741,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,141,156,120,182,0.1269349845201238,2020,5,143,0.0,146.60355,5.427282,158.15384,4.58252,129.74556,5.4102383,176.2071,4.884383,0.09467456,4.92106
-120.02028447743902,34.46593619044007,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,109,120,98,145,0.1417322834645669,2020,5,143,0.0,114.86391,3.9922595,124.31953,4.058992,103.02959,3.8904757,134.79881,5.2110677,0.07692308,4.1305976
-120.02012719747806,34.46505149065966,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,139,149,100,183,0.1366459627329192,2020,5,143,0.0,147.66272,4.1849217,150.09468,3.7077239,103.4142,3.8349864,180.16568,3.8818483,0.09467456,3.2254117
-120.0246887791773,34.465091426887035,EPSG:4326,ca_m_3412040_ne_10_060_20200522,capitan,123,150,123,182,0.1934426229508196,2020,5,143,0.0,123.40829,5.3631415,138.80473,4.9945445,130.7219,5.2106977,131.15384,5.891031,0.00591716,5.6174054
